排名,学校名称,国家,总分
1,哈佛大学,美国,100.0
2,斯坦福大学,美国,76.8
3,麻省理工学院,美国,71.2
4,剑桥大学,英国,68.6
5,加州大学-伯克利,美国,61.8
6,牛津大学,英国,61.0
7,普林斯顿大学,美国,59.4
8,哥伦比亚大学,美国,55.8
9,加州理工学院,美国,55.5
10,芝加哥大学,美国,54.2
11,耶鲁大学,美国,53.6
12,康奈尔大学,美国,49.8
13,巴黎萨克雷大学,法国,49.1
14,伦敦大学学院,英国,48.5
15,宾夕法尼亚大学,美国,48.5
16,加州大学-洛杉矶,美国,48.0
17,华盛顿大学,美国,46.2
18,清华大学,中国,46.0
19,约翰斯·霍普金斯大学,美国,45.5
20,加州大学-圣地亚哥,美国,45.3
21,加州大学-旧金山,美国,44.7
22,苏黎世联邦理工学院,瑞士,44.1
23,北京大学,中国,42.5
24,浙江大学,中国,42.0
25,多伦多大学,加拿大,41.5
26,帝国理工学院,英国,40.4
27,华盛顿大学-圣路易斯,美国,40.4
28,纽约大学,美国,38.9
29,洛克菲勒大学,美国,38.7
30,上海交通大学,中国,37.7
31,西北大学（埃文斯顿）,美国,37.5
32,东京大学,日本,37.5
33,密歇根大学-安娜堡,美国,37.4
34,巴黎文理大学,法国,37.3
35,哥本哈根大学,丹麦,37.2
36,威斯康星大学-麦迪逊,美国,36.4
37,爱丁堡大学,英国,35.7
38,墨尔本大学,澳大利亚,35.5
39,北卡罗来纳大学-教堂山,美国,35.0
40,中国科学技术大学,中国,34.9
41,复旦大学,中国,34.5
42,慕尼黑大学,德国,34.4
43,索邦大学,法国,34.3
44,洛桑联邦理工学院,瑞士,34.1
45,慕尼黑工业大学,德国,33.7
46,杜克大学,美国,33.6
47,京都大学,日本,33.6
48,曼彻斯特大学,英国,33.6
49,德克萨斯州大学-奥斯汀,美国,33.4
50,卡罗林斯卡学院,瑞典,32.9
51,海德堡大学,德国,32.7
52,明尼苏达大学-双城,美国,32.7
53,英属哥伦比亚大学,加拿大,32.3
54,伊利诺伊大学厄巴纳-香槟,美国,32.3
55,马里兰大学-大学城,美国,32.2
56,新加坡国立大学,新加坡,32.1
57,乌得勒支大学,荷兰,32.1
58,日内瓦大学,瑞士,31.9
59,德克萨斯大学西南医学中心,美国,31.9
60,巴黎西岱大学,法国,31.8
61,伦敦国王学院,英国,31.7
62,科罗拉多大学-博尔德,美国,30.9
63,范德堡大学,美国,30.9
64,苏黎世大学,瑞士,30.8
65,中山大学,中国,30.6
66,昆士兰大学,澳大利亚,30.6
67,香港大学,中国香港,30.5
68,波恩大学,德国,30.1
69,南加州大学,美国,30.1
70,加州大学-圣塔芭芭拉,美国,30.0
71,魏茨曼科学研究学院,以色列,29.7
72,悉尼大学,澳大利亚,29.2
73,华中科技大学,中国,29.0
74,格罗宁根大学,荷兰,29.0
75,南京大学,中国,28.8
76,鲁汶大学（佛兰德语）,比利时,28.6
77,麦吉尔大学,加拿大,28.6
78,莫纳什大学,澳大利亚,28.6
79,加州大学-欧文,美国,28.5
80,新南威尔士大学,澳大利亚,28.4
81,首尔大学,韩国,28.3
82,武汉大学,中国,28.3
83,俄亥俄州立大学-哥伦布,美国,28.2
84,奥斯陆大学,挪威,28.2
85,奥胡斯大学,丹麦,28.1
86,德克萨斯大学安德森肿瘤中心,美国,28.0
87,四川大学,中国,27.7
88,南洋理工大学,新加坡,27.4
89,耶路撒冷希伯来大学,以色列,27.4
90,匹兹堡大学,美国,27.4
91,根特大学,比利时,27.2
92,西安交通大学,中国,27.1
93,乌普萨拉大学,瑞典,27.0
94,巴塞尔大学,瑞士,26.8
95,赫尔辛基大学,芬兰,26.8
96,中南大学,中国,26.6
97,以色列理工学院,以色列,26.5
98,布里斯托大学,英国,26.4
99,香港城市大学,中国香港,26.3
100,斯德哥尔摩大学,瑞典,26.1
101,北京航空航天大学,中国,-
102,北京理工大学,中国,-
103,北京师范大学,中国,-
104,波士顿大学,美国,-
105,布朗大学,美国,-
106,卡内基梅隆大学,美国,-
107,埃莫里大学,美国,-
108,伊拉斯姆斯大学,荷兰,-
109,哈尔滨工业大学,中国,-
110,西奈山医学院,美国,-
111,印第安纳大学-布鲁明顿,美国,-
112,东京科学大学,日本,-
113,吉林大学,中国,-
114,沙特国王大学,沙特阿拉伯,-
115,莱顿大学,荷兰,-
116,隆德大学,瑞典,-
117,梅奥诊所医学与科学学院-明尼苏达,美国,-
118,麦克马斯特大学,加拿大,-
119,莫斯科国立大学,俄罗斯,-
120,名古屋大学,日本,-
121,西北工业大学,中国,-
122,宾夕法尼亚州立大学-帕克,美国,-
123,普渡大学-西拉法叶,美国,-
124,拉德堡德大学,荷兰,-
125,莱斯大学,美国,-
126,罗马大学,意大利,-
127,山东大学,中国,-
128,苏州大学,中国,-
129,华南理工大学,中国,-
130,东南大学,中国,-
131,南方科技大学,中国,-
132,澳大利亚国立大学,澳大利亚,-
133,香港中文大学,中国香港,-
134,华威大学,英国,-
135,西澳大学,澳大利亚,-
136,天津大学,中国,-
137,同济大学,中国,-
138,布鲁塞尔自由大学（法语）,比利时,-
139,阿尔伯塔大学,加拿大,-
140,阿姆斯特丹大学,荷兰,-
141,加州大学-戴维斯,美国,-
142,弗莱堡大学,德国,-
143,格拉斯哥大学,英国,-
144,洛桑大学,瑞士,-
145,利物浦大学,英国,-
146,诺丁汉大学,英国,-
147,圣保罗大学,巴西,-
148,斯特拉斯堡大学,法国,-
149,维也纳大学,奥地利,-
150,厦门大学,中国,-
151,艾克斯-马赛大学,法国,-
152,亚利桑那州立大学,美国,-
153,凯斯西储大学,美国,-
154,中国农业大学,中国,-
155,重庆大学,中国,-
156,大连理工大学,中国,-
157,代尔夫特理工大学,荷兰,-
158,佐治亚理工学院,美国,-
159,法兰克福大学,德国,-
160,湖南大学,中国,-
161,密歇根州立大学,美国,-
162,南开大学,中国,-
163,挪威科学技术大学,挪威,-
164,北京协和医学院,中国,-
165,罗格斯大学-新布朗斯维克,美国,-
166,成均馆大学,韩国,-
167,丹麦技术大学,丹麦,-
168,香港理工大学,中国香港,-
169,伦敦政治经济学院,英国,-
170,阿德雷德大学,澳大利亚,-
171,卡尔加里大学,加拿大,-
172,谢菲尔德大学,英国,-
173,格勒诺布尔阿尔卑斯大学,法国,-
