排名,学校名称,标签,省市,类型,评分
1,清华大学,双一流/985/211,北京,综合,1076.1
2,北京大学,双一流/985/211,北京,综合,1027.7
3,浙江大学,双一流/985/211,浙江,综合,868.9
4,上海交通大学,双一流/985/211,上海,综合,851.7
5,复旦大学,双一流/985/211,上海,综合,788.4
6,南京大学,双一流/985/211,江苏,综合,707.8
7,中国科学技术大学,双一流/985/211,安徽,理工,637.0
8,武汉大学,双一流/985/211,湖北,综合,629.2
9,华中科技大学,双一流/985/211,湖北,综合,628.9
10,西安交通大学,双一流/985/211,陕西,综合,598.5
11,北京航空航天大学,双一流/985/211,北京,理工,585.4
12,中山大学,双一流/985/211,广东,综合,585.2
13,北京理工大学,双一流/985/211,北京,理工,582.4
14,哈尔滨工业大学,双一流/985/211,黑龙江,理工,576.4
15,四川大学,双一流/985/211,四川,综合,576.3
16,东南大学,双一流/985/211,江苏,综合,575.0
17,中国人民大学,双一流/985/211,北京,综合,558.0
18,同济大学,双一流/985/211,上海,综合,547.7
19,北京师范大学,双一流/985/211,北京,师范,543.8
20,天津大学,双一流/985/211,天津,理工,528.5
21,西北工业大学,双一流/985/211,陕西,理工,513.7
22,山东大学,双一流/985/211,山东,综合,513.4
23,南开大学,双一流/985/211,天津,综合,512.2
24,厦门大学,双一流/985/211,福建,综合,504.8
25,中国农业大学,双一流/985/211,北京,农业,499.2
26,吉林大学,双一流/985/211,吉林,综合,486.0
27,中南大学,双一流/985/211,湖南,综合,485.3
28,大连理工大学,双一流/985/211,辽宁,理工,469.5
29,湖南大学,双一流/985/211,湖南,综合,466.4
30,华东师范大学,双一流/985/211,上海,师范,460.1
31,华南理工大学,双一流/985/211,广东,理工,458.7
32,南方科技大学,双一流,广东,综合,457.1
33,电子科技大学,双一流/985/211,四川,理工,442.8
34,重庆大学,双一流/985/211,重庆,综合,425.7
35,北京科技大学,双一流/211,北京,理工,418.9
36,南京航空航天大学,双一流/211,江苏,理工,405.0
37,东北大学,双一流/985/211,辽宁,理工,404.5
38,南京理工大学,双一流/211,江苏,理工,401.5
39,兰州大学,双一流/985/211,甘肃,综合,385.7
40,西安电子科技大学,双一流/211,陕西,理工,377.3
41,上海科技大学,双一流,上海,综合,374.8
42,北京交通大学,双一流/211,北京,理工,372.4
43,哈尔滨工程大学,双一流/211,黑龙江,理工,371.6
44,华东理工大学,双一流/211,上海,理工,371.5
45,东北师范大学,双一流/211,吉林,师范,368.8
46,苏州大学,双一流/211,江苏,综合,366.8
47,华中农业大学,双一流/211,湖北,农业,365.5
48,武汉理工大学,双一流/211,湖北,理工,358.2
49,中国石油大学（北京）,双一流/211,北京,理工,358.2
50,郑州大学,双一流/211,河南,综合,353.1
51,江南大学,双一流/211,江苏,综合,349.7
52,西南交通大学,双一流/211,四川,理工,342.9
53,南京农业大学,双一流/211,江苏,农业,342.4
54,中国地质大学（武汉）,双一流/211,湖北,理工,337.7
55,暨南大学,双一流/211,广东,综合,337.1
56,华中师范大学,双一流/211,湖北,师范,335.8
57,中国海洋大学,双一流/985/211,山东,综合,335.8
58,南京师范大学,双一流/211,江苏,师范,334.2
59,中国矿业大学,双一流/211,江苏,理工,332.7
60,北京邮电大学,双一流/211,北京,理工,332.5
61,上海大学,双一流/211,上海,综合,331.9
62,浙江工业大学,-,浙江,理工,331.6
63,北京化工大学,双一流/211,北京,理工,331.4
64,河海大学,双一流/211,江苏,理工,330.2
65,陕西师范大学,双一流/211,陕西,师范,329.4
66,西南大学,双一流/211,重庆,综合,325.1
67,中国石油大学（华东）,双一流/211,山东,理工,324.7
68,深圳大学,-,广东,综合,323.7
69,云南大学,双一流/211,云南,综合,320.7
70,西北大学,双一流/211,陕西,综合,319.3
71,西北农林科技大学,双一流/985/211,陕西,农业,319.1
72,北京工业大学,双一流/211,北京,理工,318.9
73,南昌大学,双一流/211,江西,综合,313.0
74,东华大学,双一流/211,上海,理工,307.9
75,中国地质大学（北京）,双一流/211,北京,理工,306.6
